Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Ground Truth 1;Ground Truth 2;Ground Truth 3;Ground Truth 4;Ground Truth 5;Ground Truth Rep 0;Ground Truth Rep 1;Ground Truth Rep 2;Ground Truth Rep 3;Ground Truth Rep 4;Ground Truth Rep 5;fMeasure 0;fMeasure 1;fMeasure 2;fMeasure 3;fMeasure 4;fMeasure 5
100;1.6689019203186035;36;100;0.13585381353868092;0.18541666666666645;0.09710726555062688;0.1388888888888889;0.05555555555555555;0.027777777777777776;0.027777777777777776;0.16666666666666666;0.5833333333333334;0.007473841554559043;0.004484304932735426;0.004484304932735426;0.007473841554559043;0.01943198804185351;0.9566517189835575;0.014184397163120565;0.008298755186721992;0.007722007722007722;0.01177856301531213;0.03480589022757698;0.7247431853110087
150;1.6989538669586182;50;150;0.15835605419202584;0.20937499999999973;0.12128317611607485;0.16;0.12;0.02;0.02;0.14;0.54;0.01195814648729447;0.01195814648729447;0.0029895366218236174;0.007473841554559043;0.02391629297458894;0.9417040358744395;0.022253129346314328;0.02174898051653829;0.005201560468140442;0.010881392818280738;0.040853547328105054;0.6863991283820593
200;1.5977189540863037;60;200;0.1771424310840616;0.21874999999999972;0.13784295753038214;0.15;0.1;0.016666666666666666;0.03333333333333333;0.11666666666666667;0.5833333333333334;0.013452914798206279;0.01195814648729447;0.0029895366218236174;0.007473841554559043;0.02391629297458894;0.9402092675635276;0.02469135802469136;0.021361815754339118;0.005069708491761724;0.01221001221001221;0.03969519758993443;0.7199738369716294
250;1.9346978664398193;75;250;0.19270034737698624;0.23229166666666634;0.1521758197858511;0.14666666666666667;0.08;0.04;0.06666666666666667;0.09333333333333334;0.5733333333333334;0.016442451420029897;0.01195814648729447;0.007473841554559043;0.013452914798206279;0.02242152466367713;0.9282511210762332;0.02956989247311828;0.02080624187256177;0.012594458438287152;0.02238805970149254;0.036157024793388434;0.7088476546945925
300;1.9908370971679688;84;300;0.2137204655642792;0.2416666666666663;0.16620872892651883;0.14285714285714285;0.08333333333333333;0.03571428571428571;0.07142857142857142;0.08333333333333333;0.5833333333333334;0.017937219730941704;0.013452914798206279;0.007473841554559043;0.013452914798206279;0.02242152466367713;0.9252615844544095;0.03187250996015936;0.02316602316602317;0.012360939431396784;0.022641509433962266;0.0353356890459364;0.7155478490628354
350;2.0329060554504395;108;350;0.24036365473922647;0.2531249999999996;0.18281587178366163;0.23148148148148148;0.06481481481481481;0.027777777777777776;0.05555555555555555;0.07407407407407407;0.5462962962962963;0.03736920777279522;0.013452914798206279;0.007473841554559043;0.013452914798206279;0.02242152466367713;0.905829596412556;0.06435006435006435;0.02228116710875332;0.01177856301531213;0.021660649819494587;0.03442340791738382;0.6815543419209104
400;2.0883700847625732;142;400;0.27521220374554967;0.26666666666666616;0.2051918638471536;0.3028169014084507;0.04929577464788732;0.02112676056338028;0.04225352112676056;0.056338028169014086;0.528169014084507;0.06427503736920777;0.01195814648729447;0.007473841554559043;0.01046337817638266;0.02092675635276532;0.8849028400597907;0.1060419235511714;0.019247293349372745;0.01104158998895841;0.016773162939297124;0.03051771117166213;0.6615067156340556
450;2.0038130283355713;175;450;0.2976263675165066;0.2739583333333328;0.22149831091505184;0.30857142857142855;0.04;0.017142857142857144;0.03428571428571429;0.045714285714285714;0.5542857142857143;0.08071748878923767;0.01046337817638266;0.007473841554559043;0.007473841554559043;0.02092675635276532;0.8729446935724963;0.12796208530805686;0.016587677725118485;0.01040943789035392;0.012272448353446513;0.02871058702896693;0.6780415696647974
500;2.003438949584961;189;500;0.30607036708740865;0.27604166666666613;0.2280229545196398;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
600;1.8969111442565918;231;600;0.35791862962446463;0.2874999999999994;0.2512251034232168;0.3116883116883117;0.030303030303030304;0.012987012987012988;0.025974025974025976;0.03463203463203463;0.5844155844155844;0.10762331838565023;0.007473841554559043;0.005979073243647235;0.004484304932735426;0.01943198804185351;0.8550074738415545;0.16;0.01199040767386091;0.008188331627430911;0.007648183556405354;0.024895272292040693;0.6942777380679442
700;1.9943170547485352;256;700;0.37986531421227815;0.2999999999999994;0.26904628397877245;0.34765625;0.02734375;0.01171875;0.0234375;0.03125;0.55859375;0.13303437967115098;0.007473841554559043;0.005979073243647235;0.0029895366218236174;0.01943198804185351;0.8310911808669657;0.19243243243243244;0.011739057521381852;0.00791817881887166;0.005302695536897923;0.023963133640552994;0.6681260320248065
800;2.1663851737976074;283;800;0.3920327151481601;0.30416666666666603;0.27704169568512166;0.33568904593639576;0.024734982332155476;0.01060070671378092;0.02120141342756184;0.028268551236749116;0.5795053003533569;0.14200298953662183;0.005979073243647235;0.005979073243647235;0.0029895366218236174;0.01943198804185351;0.8236173393124065;0.1995798319327731;0.009630266552020636;0.007645747053201658;0.005240174672489083;0.02303177942642011;0.6803262952241492
900;2.2302870750427246;301;900;0.4026808632963082;0.310416666666666;0.2857222512406772;0.34219269102990035;0.023255813953488372;0.009966777408637873;0.019933554817275746;0.026578073089700997;0.5780730897009967;0.15396113602391628;0.004484304932735426;0.004484304932735426;0.0029895366218236174;0.01943198804185351;0.8146487294469357;0.21237113402061855;0.0075187969924812035;0.006185567010309279;0.005199306759098787;0.022450080949811116;0.6762678685403154
1000;2.4190731048583984;320;1000;0.41144949473262254;0.3156249999999993;0.29343785201587097;0.34375;0.021875;0.009375;0.01875;0.025;0.58125;0.16442451420029897;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.017937219730941704;0.8071748878923767;0.22244691607684533;0.007442849548112707;0.004533434076312807;0.005156854318865492;0.020887728459530023;0.6758311633258646
1250;2.840440034866333;347;1250;0.43544029193226114;0.32604166666666595;0.3085370583650772;0.345821325648415;0.020172910662824207;0.008645533141210375;0.01729106628242075;0.023054755043227664;0.5850144092219021;0.17937219730941703;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.017937219730941704;0.7922272047832586;0.23622047244094488;0.007337526205450734;0.004442798963346909;0.005097706032285472;0.0201765447667087;0.6730327133058299
1500;3.4085919857025146;359;1500;0.44139129501868085;0.3302083333333326;0.3142959869365058;0.35097493036211697;0.019498607242339833;0.008356545961002786;0.016713091922005572;0.022284122562674095;0.5821727019498607;0.18834080717488788;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.017937219730941704;0.7832585949177877;0.24513618677042803;0.007291666666666668;0.004403669724770642;0.00507185122569738;0.01987577639751553;0.6679087751610828
1750;4.149737119674683;394;1750;0.4647419894631253;0.34999999999999915;0.3345577390732578;0.3477157360406091;0.025380710659898477;0.01015228426395939;0.030456852791878174;0.025380710659898477;0.5609137055837563;0.20478325859491778;0.004484304932735426;0.004484304932735426;0.008968609865470852;0.016442451420029897;0.7608370702541106;0.25776105362182505;0.007621951219512195;0.006220839813374806;0.013856812933025403;0.01995645863570392;0.6457555361012643
2000;5.069650888442993;450;2000;0.5055248391318997;0.3854166666666657;0.37409660059487787;0.38;0.022222222222222223;0.011111111111111112;0.02666666666666667;0.024444444444444446;0.5355555555555556;0.2556053811659193;0.0029895366218236174;0.005979073243647235;0.007473841554559043;0.016442451420029897;0.7115097159940209;0.3056300268096515;0.005270092226613966;0.007774538386783286;0.011675423234092236;0.01966041108132261;0.61111954590615
2250;5.492855072021484;494;2250;0.5408252084208046;0.4104166666666656;0.40278790350493066;0.3765182186234818;0.022267206477732792;0.012145748987854251;0.02631578947368421;0.022267206477732792;0.5404858299595142;0.27802690582959644;0.0029895366218236174;0.007473841554559043;0.01046337817638266;0.016442451420029897;0.6846038863976084;0.3198624247635426;0.005271354977836348;0.009253547193090685;0.014973262032085563;0.018916595012897677;0.6040679221982094
2500;6.0711798667907715;526;2500;0.5641617649475598;0.42291666666666555;0.423175427977305;0.38022813688212925;0.022813688212927757;0.011406844106463879;0.024714828897338403;0.022813688212927757;0.5380228136882129;0.29895366218236175;0.0029895366218236174;0.004484304932735426;0.01046337817638266;0.016442451420029897;0.6666666666666666;0.3347280334728033;0.0052863436123348016;0.006437768240343348;0.01470231844252363;0.01911104676415231;0.5954760652288269
2750;7.406829833984375;557;2750;0.5920784316142269;0.4437499999999988;0.4478629279773049;0.4021543985637343;0.02154398563734291;0.010771992818671455;0.025134649910233394;0.02154398563734291;0.518850987432675;0.33482810164424515;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.01195814648729447;0.6397608370702541;0.365415986949429;0.005250492233646905;0.00633245382585752;0.009660169052958427;0.015379685998077538;0.5729969865913739
3000;9.024199962615967;592;3000;0.6160367649475608;0.4666666666666654;0.47112681686619373;0.41385135135135137;0.02027027027027027;0.010135135135135136;0.02364864864864865;0.02027027027027027;0.5118243243243243;0.3662182361733931;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.01195814648729447;0.6083707025411061;0.3885804916732752;0.005210594876248372;0.0062176165803108805;0.00954491222089654;0.015042306486994672;0.5559369865051582
3250;10.114259004592896;626;3250;0.6475753017237745;0.48749999999999866;0.4961694755963524;0.42012779552715657;0.019169329073482427;0.009584664536741214;0.022364217252396165;0.019169329073482427;0.5095846645367412;0.3931240657698057;0.0029895366218236174;0.0029895366218236174;0.005979073243647235;0.01046337817638266;0.5844544095665172;0.4061776061776062;0.005172413793103448;0.004557538928978352;0.009435551811288963;0.01353746978243352;0.5444577095751205
3500;11.668353080749512;649;3500;0.6626061659213058;0.4979166666666653;0.5104303882947653;0.42989214175654855;0.01848998459167951;0.009244992295839754;0.02157164869029276;0.01848998459167951;0.50231124807396;0.4170403587443946;0.0029895366218236174;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.5665171898355755;0.4233687405159332;0.0051469011366073346;0.004518072289156626;0.007425086184036065;0.009036144578313253;0.5324857509185136
3750;13.208070039749146;671;3750;0.6828952904797081;0.5083333333333321;0.527826088286232;0.4396423248882265;0.01788375558867362;0.00894187779433681;0.020864381520119227;0.01788375558867362;0.4947839046199702;0.44095665171898357;0.0029895366218236174;0.0029895366218236174;0.004484304932735426;0.005979073243647235;0.5426008968609866;0.44029850746268656;0.005122732123799359;0.004480955937266617;0.007382019509622991;0.008961911874533234;0.5175903676551115
4000;15.773520946502686;695;4000;0.7032077904797086;0.5249999999999994;0.545881643841788;0.4460431654676259;0.017266187050359712;0.008633093525179856;0.02014388489208633;0.017266187050359712;0.4906474820143885;0.4633781763826607;0.0029895366218236174;0.0029895366218236174;0.0029895366218236174;0.005979073243647235;0.5216741405082213;0.4545454545454546;0.005096623486939902;0.0044411547002220575;0.005206396429899591;0.008882309400444115;0.5056853430326929
4250;18.085182905197144;723;4250;0.7224786238130427;0.5437500000000002;0.5649788660640107;0.45504840940525587;0.016597510373443983;0.008298755186721992;0.019363762102351315;0.016597510373443983;0.48409405255878285;0.49177877428998507;0.0029895366218236174;0.0014947683109118087;0.0029895366218236174;0.005979073243647235;0.4947683109118087;0.4727011494252874;0.00506649778340722;0.00253324889170361;0.005179430262671107;0.008791208791208791;0.48937298162686416
4500;24.977822065353394;756;4500;0.7545458663604689;0.5677083333333344;0.5923621255693642;0.46296296296296297;0.015873015873015872;0.007936507936507936;0.018518518518518517;0.015873015873015872;0.47883597883597884;0.523168908819133;0.0029895366218236174;0.0014947683109118087;0.0029895366218236174;0.004484304932735426;0.4648729446935725;0.4912280701754386;0.005031446540880503;0.0025157232704402514;0.005148005148005148;0.006993006993006993;0.47175116385288735
4750;24.886105060577393;775;4750;0.772749626523071;0.5812500000000016;0.607868077950317;0.4696774193548387;0.015483870967741935;0.007741935483870968;0.01806451612903226;0.015483870967741935;0.4735483870967742;0.5440956651718983;0.0029895366218236174;0.0014947683109118087;0.0014947683109118087;0.004484304932735426;0.445440956651719;0.5041551246537396;0.005011484652328252;0.002505742326164126;0.0027610689281135988;0.006954505940307158;0.45906483683230737
5000;22.39719295501709;795;5000;0.788374626523071;0.5947916666666689;0.6221041890614287;0.4716981132075472;0.01509433962264151;0.007547169811320755;0.01761006289308176;0.01509433962264151;0.4729559748427673;0.5605381165919282;0.0029895366218236174;0.0014947683109118087;0.0014947683109118087;0.004484304932735426;0.4289985052316891;0.5122950819672132;0.004990642545227698;0.002495321272613849;0.0027556342879637833;0.006914433880726015;0.44990608889972883
5500;24.99974298477173;821;5500;0.8106663952398585;0.6114583333333367;0.6434294205429111;0.48112058465286234;0.014616321559074299;0.007308160779537149;0.01705237515225335;0.014616321559074299;0.46528623629719856;0.5904334828101644;0.0029895366218236174;0.0014947683109118087;0.0;0.004484304932735426;0.40059790732436473;0.5302013422818792;0.004963805584281282;0.002481902792140641;0.0;0.006863025450386045;0.4305257093354304
6000;29.60016703605652;830;6000;0.814659450795414;0.6145833333333367;0.6472984681619589;0.4807228915662651;0.014457831325301205;0.007228915662650603;0.016867469879518072;0.014457831325301205;0.46626506024096387;0.5964125560538116;0.0029895366218236174;0.0014947683109118087;0.0;0.0029895366218236174;0.3961136023916293;0.5323549032688458;0.004954582989265071;0.0024772914946325354;0.0;0.004954582989265071;0.42833604467341757
6500;34.181071043014526;869;6500;0.8498677841287485;0.6406250000000044;0.6764651348286262;0.48216340621403914;0.01380897583429229;0.006904487917146145;0.01611047180667434;0.01380897583429229;0.4672036823935558;0.6263079222720478;0.0029895366218236174;0.0014947683109118087;0.0;0.0014947683109118087;0.36771300448430494;0.5448634590377113;0.004915011263567479;0.0024575056317837395;0.0;0.0026975384961222884;0.4115305693589458
7000;39.15748596191406;902;7000;0.8696208705485023;0.6572916666666719;0.6947935078444999;0.4811529933481153;0.013303769401330377;0.0066518847006651885;0.015521064301552107;0.013303769401330377;0.4700665188470067;0.648729446935725;0.0029895366218236174;0.0014947683109118087;0.0;0.0014947683109118087;0.3452914798206278;0.5525143220878421;0.004882017900732304;0.002441008950366152;0.0;0.002687569988801792;0.3981317756667439
7500;2359.035537958145;925;7500;0.8839704640444378;0.6697916666666722;0.708980015781008;0.4843243243243243;0.012972972972972972;0.006486486486486486;0.015135135135135135;0.012972972972972972;0.4681081081081081;0.6696562032884903;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.32585949177877427;0.5621079046424091;0.004859283255719781;0.0024296416278598906;0.0;0.0;0.3842410451695103
8000;60.33615493774414;944;8000;0.8933454640444382;0.6791666666666726;0.7183550157810084;0.4841101694915254;0.012711864406779662;0.006355932203389831;0.014830508474576272;0.012711864406779662;0.4692796610169492;0.6831091180866966;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.312406576980568;0.5666460012399256;0.004840661557079468;0.002420330778539734;0.0;0.0;0.3751020432967429
8500;71.2196569442749;954;8500;0.8985537973777717;0.6843750000000062;0.7235633491143417;0.48427672955974843;0.012578616352201259;0.006289308176100629;0.014675052410901468;0.012578616352201259;0.469601677148847;0.6905829596412556;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.30493273542600896;0.5693160813308689;0.004830917874396135;0.0024154589371980675;0.0;0.0;0.36976258678448315
9000;71.77527403831482;964;9000;0.9026950575403736;0.688541666666673;0.7283054126064056;0.48443983402489627;0.013485477178423237;0.007261410788381743;0.015560165975103735;0.013485477178423237;0.4657676348547718;0.6980568011958147;0.0029895366218236174;0.0014947683109118087;0.0;0.0;0.2974588938714499;0.5719534598897735;0.004894117647058823;0.002479192491588454;0.0;0.0;0.36305531909706495
9500;81.8709168434143;1074;9500;0.926113911290333;0.7437500000000075;0.7576538867595677;0.45251396648044695;0.01303538175046555;0.010242085661080074;0.025139664804469275;0.03165735567970205;0.46741154562383613;0.726457399103139;0.004484304932735426;0.0014947683109118087;0.004484304932735426;0.0;0.26307922272047835;0.557659208261618;0.00667302192564347;0.0026087987667496736;0.007610993657505285;0.0;0.33666754308751634
10000;93.22786498069763;1184;10000;0.934729608800237;0.789583333333342;0.7693606608882173;0.4155405405405405;0.013513513513513514;0.013513513513513514;0.03209459459459459;0.04983108108108108;0.47550675675675674;0.7354260089686099;0.004484304932735426;0.0029895366218236174;0.004484304932735426;0.004484304932735426;0.24813153961136025;0.5310307609282245;0.006734006734006734;0.004895960832313342;0.007869124042244772;0.008228157032285056;0.3260972346041721
11000;111.77549004554749;1379;11000;0.9555971825826732;0.8531250000000102;0.7962295385490947;0.37128353879622916;0.016678752719361856;0.01305293691080493;0.03915881073241479;0.0725163161711385;0.4873096446700508;0.7653213751868461;0.005979073243647235;0.004484304932735426;0.004484304932735426;0.017937219730941704;0.20179372197309417;0.5;0.008802564225230828;0.006675319859076581;0.00804709038074659;0.028760425654299687;0.28540283420870083
12000;120.98425006866455;1571;12000;0.9699196377631336;0.9010416666666782;0.8162427577535835;0.33800127307447486;0.018459579885423297;0.014003819223424571;0.0426479949077021;0.08911521323997454;0.49777211966900065;0.7937219730941704;0.004484304932735426;0.004484304932735426;0.004484304932735426;0.028400597907324365;0.16442451420029897;0.47410714285714284;0.0072157253048021905;0.006793268488497761;0.008115310077519379;0.0430737840967055;0.247195273345901
13000;158.39305019378662;1760;13000;0.9761747896294393;0.9125000000000119;0.8263722537769491;0.30568181818181817;0.01818181818181818;0.015909090909090907;0.04602272727272727;0.1;0.5142045454545454;0.804185351270553;0.004484304932735426;0.005979073243647235;0.005979073243647235;0.029895366218236172;0.14947683109118087;0.4429806504734458;0.007194244604316547;0.008691603290392674;0.010583220369432786;0.04602991944764097;0.23162218710209928
14000;170.8448781967163;1933;14000;0.9835138888889018;0.9187500000000122;0.8320408926319344;0.28142783238489394;0.01965856182100362;0.01810657009829281;0.04862907397827212;0.10553543714433523;0.5266425245732023;0.8131539611360239;0.004484304932735426;0.007473841554559043;0.005979073243647235;0.0343796711509716;0.13452914798206278;0.41813989239046884;0.007302776977034689;0.010580411124546553;0.010648843071171657;0.051863929035288914;0.21431278157499548
15000;194.19852900505066;2102;15000;0.9861701388889019;0.9218750000000123;0.8323294177642097;0.25784966698382494;0.021883920076117985;0.01807802093244529;0.048525214081826834;0.11227402473834443;0.5413891531874405;0.8101644245142003;0.005979073243647235;0.005979073243647235;0.007473841554559043;0.0343796711509716;0.13602391629297458;0.3911945146156622;0.00939206778622837;0.008986107005616317;0.012952709910092954;0.052640256024826644;0.21742088002989696
16000;222.4782431125641;2279;16000;0.9882708333333465;0.9260416666666791;0.8417141812169878;0.2387011847301448;0.022378236068451074;0.019306713470820535;0.051338306274681875;0.1254936375603335;0.5427819218955683;0.8131539611360239;0.007473841554559043;0.005979073243647235;0.01046337817638266;0.03587443946188341;0.12705530642750373;0.36906377204884666;0.011205343410818648;0.009130525005187799;0.01738373697281005;0.05579807340568224;0.20591069141498605
17000;232.57062005996704;2451;17000;0.9917083333333466;0.9291666666666792;0.8455421934825003;0.22399020807833536;0.022031823745410038;0.019175846593227255;0.05344757241942064;0.1346389228886169;0.5467156262749898;0.820627802690583;0.007473841554559043;0.004484304932735426;0.01195814648729447;0.03288490284005979;0.12257100149476831;0.35192307692307684;0.011161406337198488;0.00726879059696876;0.019543670219213594;0.05285920230658338;0.20024748460510897
