Threshold;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0.0;1.9642658233642578;77;500;0.1820435707885308;0.2999999999999995;0.1219679932890224;0.5064935064935064;0.025974025974025976;0.012987012987012988;0.012987012987012988;0.03896103896103896;0.4025974025974026;0.05829596412556054;0.004484304932735426;0.0029895366218236174;0.0029895366218236174;0.01943198804185351;0.9118086696562033;0.10455764075067023;0.007648183556405354;0.004860267314702309;0.004860267314702309;0.025930851063829786;0.5585668079575832
0.05;2.158890962600708;99;500;0.22606515522875784;0.2999999999999995;0.15768232302083002;0.46464646464646464;0.04040404040404041;0.010101010101010102;0.020202020202020204;0.030303030303030304;0.43434343434343436;0.0687593423019432;0.007473841554559043;0.0029895366218236174;0.007473841554559043;0.01943198804185351;0.8938714499252616;0.11979166666666669;0.012614317250078841;0.00461361014994233;0.010911074740861976;0.023679417122040074;0.5846150348418192
0.1;2.127354145050049;103;500;0.24425164369883495;0.2968749999999995;0.17681949425078128;0.44660194174757284;0.038834951456310676;0.009708737864077669;0.019417475728155338;0.02912621359223301;0.4563106796116505;0.0687593423019432;0.007473841554559043;0.0029895366218236174;0.007473841554559043;0.01943198804185351;0.8938714499252616;0.11917098445595853;0.012535255405828892;0.004571428571428572;0.010793308148947653;0.023311416616855946;0.6041897309672496
0.15000000000000002;2.0736191272735596;109;500;0.24829636320092163;0.2874999999999995;0.18579117116252702;0.42201834862385323;0.03669724770642202;0.009174311926605505;0.01834862385321101;0.027522935779816515;0.48623853211009177;0.0687593423019432;0.007473841554559043;0.0029895366218236174;0.007473841554559043;0.01943198804185351;0.8938714499252616;0.11825192802056556;0.012418503570319777;0.004509582863585118;0.010621348911311737;0.022780373831775703;0.6298552251115374
0.2;1.9741089344024658;125;500;0.26764534590175787;0.2833333333333329;0.20781972635230297;0.384;0.04;0.024;0.024;0.048;0.48;0.07174887892376682;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.026905829596412557;0.8729446935724963;0.12090680100755667;0.016587677725118485;0.013057671381936888;0.013057671381936888;0.034482758620689655;0.6194095810500265
0.25;1.8674001693725586;133;500;0.2728338336548267;0.2833333333333329;0.21084512925650542;0.3684210526315789;0.03759398496240601;0.022556390977443608;0.022556390977443608;0.045112781954887216;0.5037593984962406;0.07324364723467862;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.026905829596412557;0.8714499252615845;0.1221945137157107;0.01637043966323667;0.012834224598930482;0.012834224598930482;0.033707865168539325;0.6384498455402822
0.30000000000000004;2.014178991317749;137;500;0.2747332984847153;0.2802083333333329;0.21178730799955053;0.35766423357664234;0.043795620437956206;0.021897810218978103;0.0364963503649635;0.043795620437956206;0.49635036496350365;0.07324364723467862;0.01046337817638266;0.008968609865470852;0.014947683109118086;0.02092675635276532;0.8714499252615845;0.1215880893300248;0.016891212547757894;0.012725344644750796;0.021208907741251323;0.028320971004720162;0.6324673149174797
0.35000000000000003;1.9697670936584473;154;500;0.2872680207069374;0.27708333333333285;0.21885578792648636;0.35064935064935066;0.03896103896103896;0.01948051948051948;0.03896103896103896;0.03896103896103896;0.512987012987013;0.08071748878923767;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.02092675635276532;0.8699551569506726;0.13122721749696234;0.016496465043205028;0.012282497441146366;0.014580801944106925;0.027228525121555915;0.6454003747920746
0.4;2.0736939907073975;163;500;0.2939547916905835;0.2760416666666662;0.22224257475077316;0.3312883435582822;0.03680981595092025;0.018404907975460124;0.03680981595092025;0.04294478527607362;0.5337423312883436;0.08071748878923767;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.02092675635276532;0.8699551569506726;0.12980769230769232;0.016294859359844812;0.012060301507537688;0.014423076923076924;0.02814070351758794;0.6615839915332301
0.45;2.1081910133361816;164;500;0.2939547916905835;0.2760416666666662;0.2224070484349837;0.32926829268292684;0.036585365853658534;0.018292682926829267;0.036585365853658534;0.04878048780487805;0.5304878048780488;0.08071748878923767;0.01046337817638266;0.008968609865470852;0.008968609865470852;0.02092675635276532;0.8699551569506726;0.12965186074429771;0.016272762495156915;0.012036108324974924;0.014405762304921969;0.029288702928870293;0.659078040494367
0.5;2.0550100803375244;189;500;0.3060703670874088;0.2760416666666662;0.22802295451963975;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
0.55;2.0929601192474365;189;500;0.3060703670874088;0.2760416666666662;0.22802295451963975;0.31216931216931215;0.037037037037037035;0.015873015873015872;0.031746031746031744;0.042328042328042326;0.5608465608465608;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1375291375291375;0.014440433212996389;0.01016260162601626;0.007858546168958742;0.028007001750437608;0.6820111435394003
0.6000000000000001;2.1452560424804688;191;500;0.3060703670874088;0.2749999999999995;0.22772308078226602;0.3089005235602094;0.03664921465968586;0.015706806282722512;0.03664921465968586;0.041884816753926704;0.5602094240837696;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13720930232558137;0.014410705095213586;0.01012829169480081;0.007990867579908675;0.02790929479192624;0.6815398506115078
0.65;2.074801206588745;191;500;0.3060703670874088;0.2749999999999995;0.22772308078226602;0.3089005235602094;0.03664921465968586;0.015706806282722512;0.03664921465968586;0.041884816753926704;0.5602094240837696;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13720930232558137;0.014410705095213586;0.01012829169480081;0.007990867579908675;0.02790929479192624;0.6815398506115078
0.7000000000000001;2.1187808513641357;206;500;0.30985508930963107;0.2749999999999995;0.228847303781489;0.28640776699029125;0.038834951456310676;0.019417475728155338;0.043689320388349516;0.03398058252427184;0.5776699029126213;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13485714285714287;0.014571948998178508;0.010793308148947653;0.008133755083596927;0.02590194264569843;0.6943053487917474
0.75;1.9711859226226807;213;500;0.30985508930963107;0.2749999999999995;0.22912508155926678;0.27699530516431925;0.046948356807511735;0.018779342723004695;0.04225352112676056;0.03286384976525822;0.5821596244131455;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13378684807256236;0.015060240963855422;0.010692328254477412;0.008108108108108109;0.025570776255707764;0.6975382028010555
0.8;2.0798490047454834;215;500;0.30985508930963107;0.2749999999999995;0.22934829584498106;0.2744186046511628;0.046511627906976744;0.018604651162790697;0.04186046511627907;0.03255813953488372;0.586046511627907;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.1334841628959276;0.015037593984962407;0.010663822980538522;0.008100810081008101;0.025477707006369428;0.7003208801283519
0.8500000000000001;1.9872121810913086;216;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.27314814814814814;0.046296296296296294;0.018518518518518517;0.041666666666666664;0.037037037037037035;0.5833333333333334;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13333333333333333;0.015026296018031555;0.010649627263045792;0.008097165991902834;0.026743075453677174;0.698380046284392
0.9;2.0120511054992676;216;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.27314814814814814;0.046296296296296294;0.018518518518518517;0.041666666666666664;0.037037037037037035;0.5833333333333334;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13333333333333333;0.015026296018031555;0.010649627263045792;0.008097165991902834;0.026743075453677174;0.698380046284392
0.9500000000000001;1.935858964920044;216;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.27314814814814814;0.046296296296296294;0.018518518518518517;0.041666666666666664;0.037037037037037035;0.5833333333333334;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13333333333333333;0.015026296018031555;0.010649627263045792;0.008097165991902834;0.026743075453677174;0.698380046284392
1.0;1.987534999847412;500;500;0.30999397819851987;0.2749999999999995;0.22954670854339376;0.296;0.042;0.008;0.02;0.016;0.618;0.08819133034379671;0.008968609865470852;0.007473841554559043;0.004484304932735426;0.02092675635276532;0.8699551569506726;0.13589392430278885;0.014780925567481965;0.007727975270479134;0.007326007326007326;0.018134715025906738;0.7226458196459462
