Min Limit;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
0;21.42500400543213;3694;5000;0.9362673611111223;0.7364583333333414;0.7756580355744683;0.6169463995668651;0.009745533297238766;0.005955603681645912;0.004872766648619383;0.00676773145641581;0.35571196534921495;0.7668161434977578;0.007473841554559043;0.008968609865470852;0.0029895366218236174;0.0014947683109118087;0.21225710014947682;0.6837653775668023;0.008459839263054;0.007157963234097934;0.003705609881626351;0.0024486997404378277;0.26586796654920797
1;20.781162977218628;3853;5000;0.9507263156430913;0.8010416666666766;0.8082357722667891;0.5792888658188424;0.010121982870490527;0.006747988580327018;0.007786140669608098;0.009343368803529718;0.3867116532572022;0.7907324364723468;0.01195814648729447;0.005979073243647235;0.007473841554559043;0.004484304932735426;0.17937219730941703;0.668693976545012;0.010963717824826497;0.006340303602999451;0.007626795474768018;0.006060095951519232;0.2450708279364296
2;21.026846170425415;4336;5000;0.954513888888901;0.7864583333333434;0.8027218298271022;0.5394372693726938;0.00922509225092251;0.005304428044280443;0.013376383763837638;0.020756457564575646;0.41190036900369004;0.7862481315396114;0.007473841554559043;0.008968609865470852;0.01046337817638266;0.007473841554559043;0.17937219730941703;0.6398675656158441;0.008257638315441783;0.006666183609883342;0.011741909361714434;0.01099035291244352;0.24991341885335078
3;20.309884071350098;4527;5000;0.9474537037037154;0.7687500000000093;0.7891508851890839;0.5343494588027391;0.007731389441130992;0.004638833664678595;0.013253810470510271;0.01855533465871438;0.42147117296222664;0.7742899850523169;0.005979073243647235;0.01046337817638266;0.007473841554559043;0.0014947683109118087;0.20029895366218237;0.6323230381170021;0.006743250728511909;0.00642791551882461;0.009557945041816009;0.0027666617261992987;0.2715480571619749
4;19.61597204208374;4584;5000;0.9444212962963079;0.7625000000000091;0.7855570018622284;0.5383944153577661;0.0063263525305410125;0.003926701570680628;0.013525305410122163;0.01767015706806283;0.4201570680628272;0.7698056801195815;0.004484304932735426;0.008968609865470852;0.007473841554559043;0.0014947683109118087;0.2077727952167414;0.6336325467639384;0.005248393810514885;0.005461993627674101;0.009627628187210783;0.00275636771987137;0.2780476405614669
5;19.397106170654297;4612;5000;0.9423958333333449;0.759375000000009;0.7841333907511172;0.529705117085863;0.006287944492627927;0.0039028620988725065;0.013226366001734605;0.017346053772766695;0.4295316565481353;0.7683109118086696;0.004484304932735426;0.007473841554559043;0.008968609865470852;0.0014947683109118087;0.20926756352765322;0.6270773433276695;0.0052351295243253;0.00512791293943365;0.010689096245673982;0.002752356705429024;0.28142502494965677
6;19.189260959625244;4622;5000;0.9403125000000115;0.7572916666666756;0.7817226764654028;0.5233665080051926;0.006274340112505409;0.0038944180008654264;0.013197749891821722;0.016659454781479878;0.436607529208135;0.7653213751868461;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0014947683109118087;0.21076233183856502;0.6216300794900591;0.005230408512940751;0.005430683360989592;0.01067973913424082;0.002743386479023782;0.28429009903364266
7;19.38505482673645;4628;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5209593777009507;0.00648228176318064;0.0038893690579083835;0.013180639585133967;0.016637856525496975;0.4388504753673293;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6204187831677126;0.005301289980561937;0.005425772418990203;0.010674132726715952;0.0;0.2847639347343268
8;20.395105123519897;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5208468351695831;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43897170015122056;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6203389677493131;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2847894510055927
9;19.619930028915405;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
10;19.341402053833008;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
11;19.444146871566772;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
12;19.34949493408203;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
13;19.55142903327942;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
14;19.27547597885132;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
15;19.2256338596344;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
16;19.24956703186035;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
17;19.140457153320312;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
18;19.23670792579651;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
19;19.147088050842285;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
20;19.11610198020935;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
21;19.268331050872803;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
22;19.455901861190796;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
23;19.64656400680542;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
24;19.63925004005432;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
25;19.5863299369812;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
26;19.80984592437744;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
27;19.774054050445557;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
28;19.842694997787476;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
29;20.041467905044556;4629;5000;0.9411458333333449;0.7572916666666756;0.7824171209098473;0.5214949233095701;0.0064808813998703824;0.0038885288399222295;0.013177792179736443;0.016634262259667316;0.43832361201123354;0.7668161434977578;0.004484304932735426;0.008968609865470852;0.008968609865470852;0.0;0.21076233183856502;0.6207984022630597;0.005300821627352239;0.0054249547920434005;0.010673198897686016;0.0;0.2846529259883886
