n-slice;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
1;18.428568124771118;2359;5000;0.8482468871262573;0.7656250000000082;0.7257404552057122;0.6273844849512505;0.01695633743111488;0.011021619330224672;0.01314116150911403;0.0211954217888936;0.3103009749894023;0.6352765321375187;0.02391629297458894;0.01195814648729447;0.01195814648729447;0.025411061285500747;0.2914798206278027;0.631305844597392;0.019843730621356817;0.01147079909557161;0.012521774254626241;0.02311258548257719;0.3005960748141807
2;18.445430994033813;2517;5000;0.8331931555801972;0.7458333333333408;0.7107381692959643;0.6301152165276123;0.014700039729837107;0.00834326579261025;0.011521652761223678;0.01628923321414382;0.3190305919745729;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6244237001871548;0.017269257055224953;0.010709095081465616;0.010967044840626688;0.020703768670600118;0.3126020706575819
3;18.64238214492798;2516;5000;0.8331931555801972;0.7458333333333408;0.7107381692959643;0.6303656597774245;0.014308426073131956;0.008346581875993641;0.011526232114467409;0.01629570747217806;0.31915739268680443;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6245466452461599;0.01699602077291428;0.01071182636639547;0.010969118958203874;0.02070899738146824;0.312662929361901
4;18.493903875350952;2516;5000;0.8331931555801972;0.7458333333333408;0.7107381692959643;0.6303656597774245;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.31915739268680443;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6245466452461599;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.312662929361901
5;19.670804977416992;2515;5000;0.8331931555801972;0.7458333333333408;0.7107381692959643;0.6302186878727635;0.014711729622266401;0.008349900596421472;0.011133200795228629;0.016302186878727636;0.3192842942345924;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6244745012669071;0.017277321014625688;0.010714559044873595;0.010787902138316317;0.02071422873401229;0.3127238117672984
6;18.526641130447388;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
7;18.485852003097534;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
8;18.512996912002563;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
9;20.87689518928528;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
10;19.345887899398804;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
11;19.94188404083252;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
12;19.397555112838745;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
13;19.315696001052856;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
14;21.126588821411133;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
15;19.54908585548401;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
16;20.061057090759277;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
17;20.908316135406494;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
18;22.674898862838745;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
19;18.510279893875122;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
20;18.382914781570435;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
21;18.4462308883667;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
22;18.44358515739441;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
23;18.69217801094055;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
24;22.003138065338135;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
25;19.80531907081604;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
26;22.249486923217773;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
27;21.407490015029907;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
28;22.65174102783203;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
29;19.99855399131775;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
30;20.16391897201538;2516;5000;0.8356931555801972;0.7458333333333408;0.7107381692959643;0.6291732909379968;0.014705882352941176;0.008346581875993641;0.011128775834658187;0.01629570747217806;0.3203497615262321;0.6188340807174888;0.02092675635276532;0.014947683109118086;0.01046337817638266;0.028400597907324365;0.3064275037369208;0.6239608578483528;0.01727328809376928;0.01071182636639547;0.010785824345146378;0.02070899738146824;0.31323400891379477
